order_office,LOCFileNumber,loc_revenue_idr
FKSCLG,LOC-2-2603-001240,3140580
FKSCLG,LOC-2-2603-001241,3149760
FKSCLG,LOC-2-2603-001242,2973300
FKSCLG,LOC-2-2603-001243,3098760
FKSCLG,LOC-2-2603-001244,3343560
FKSCLG,LOC-2-2603-001245,3073260
FKSCLG,LOC-2-2603-001246,2961060
FKSCLG,LOC-2-2603-001247,3245640
FKSCLG,LOC-2-2603-001248,3172200
FKSCLG,LOC-2-2603-001249,3179340
FKSCLG,LOC-2-2603-001250,3152820
FKSCLG,LOC-2-2603-001251,2658120
FKSCLG,LOC-2-2603-001252,2339200
FKSCLG,LOC-2-2603-001253,5076400
FKSCLG,LOC-2-2603-001254,5087600
FKSCLG,LOC-2-2603-001255,8609250
FKSCLG,LOC-2-2603-001256,6606600
FKSCLG,LOC-2-2603-001257,8587800
FKSCLG,LOC-2-2603-001258,8700900
FKSCLG,LOC-2-2603-001259,7544550
FKSCLG,LOC-2-2603-001260,3913000
FKSCLG,LOC-2-2603-001261,2538140
FKSCLG,LOC-2-2603-001262,2484190
FKSCLG,LOC-2-2603-001263,2496640
FKSCLG,LOC-2-2603-001264,2536480
FKSCLG,LOC-2-2603-001265,2540630
FKSCLG,LOC-2-2603-001266,2514070
FKSCLG,LOC-2-2603-001267,2338940
FKSCLG,LOC-2-2603-001268,2537310
FKSCLG,LOC-2-2603-001269,2742320
FKSCLG,LOC-2-2603-001274,8761350
FKSCLG,LOC-2-2603-001275,3646940
FKSCLG,LOC-2-2603-001276,2136420
FKSCLG,LOC-2-2603-001277,2387080
FKSCLG,LOC-2-2603-001279,3584000
FKSCLG,LOC-2-2603-001280,3584000
FKSCLG,LOC-2-2603-001282,1430082
FKSCLG,LOC-2-2603-001283,2143980
FKSCLG,LOC-2-2603-001284,3084820
FKSCLG,LOC-2-2603-001285,3249720
FKSCLG,LOC-2-2603-001286,2580000
FKSCLG,LOC-2-2603-001287,13425100
FKSCLG,LOC-2-2603-001288,2629794
FKSCLG,LOC-2-2603-001289,3731520
FKSCLG,LOC-2-2603-001290,6783597
FKSCLG,LOC-2-2603-001291,3920000
FKSCLG,LOC-2-2604-000001,4144000
FKSCLG,LOC-2-2604-000002,4144000
FKSCLG,LOC-2-2604-000003,4144000
FKSCLG,LOC-2-2604-000004,4144000
FKSCLG,LOC-2-2604-000005,4144000
FKSCLG,LOC-2-2604-000006,4144000
FKSCLG,LOC-2-2604-000007,4144000
FKSCLG,LOC-2-2604-000008,4144000
FKSCLG,LOC-2-2604-000009,4144000
FKSCLG,LOC-2-2604-000010,6447222
FKSCLG,LOC-2-2604-000011,6113664
FKSCLG,LOC-2-2604-000012,6106356
FKSCLG,LOC-2-2604-000013,5229570
FKSCLG,LOC-2-2604-000014,5231310
FKSCLG,LOC-2-2604-000015,3737000
